Name,Price,Image,URL
SAMSUNG 393LTR DOUBLE DOOR REFRIGERATOR : RT38CG6421S9,"KSh104,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-top-mount-freezer-optimal-fresh-and-space-max-473999-rt47cg6631s9ut-537753465.avif,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-38cg6421s9/
SAMSUNG 393LTR DOUBLE DOOR REFRIGERATOR : RT38CG6421B1,"KSh107,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-top-mount-freezer-optimal-fresh-and-space-max-rt47cg6631b1ut-537747848.avif,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-38cg6421b1/
SAMSUNG 415LTR DOUBLE DOOR REFRIGERATOR : RT42CG6621S9,"KSh109,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-3.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-42cg6621s9/
SAMSUNG 415LTR DOUBLE DOOR REFRIGERATOR : RT42CG6621B1,"KSh109,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-4.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-42cg6621b1/
SAMSUNG 465LTR DOUBLE DOOR REFRIGERATOR : RT47CG6631S9,"KSh119,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-2-1.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-47cg6631s9/
SAMSUNG 465LTR DOUBLE DOOR REFRIGERATOR : RT47CG6631B1,"KSh119,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-1-1.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-47cg6631b1/
SAMSUNG 618LTR DOUBLE DOOR REFRIGERATOR WITH DISPENSER : RT85K7111BS,"KSh209,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-rt7000k-top-freezer-with-twin-cooling-plus™-618l-rt62k7111bs-ut-463415942.png,https://samsutech.net/product/top-mount-freezer-refrigerator-rt-85k7111bs/
SAMSUNG 635LTR SIDE BY SIDE REFRIGERATOR WITH DISPENSER : RS64R5311B4,"KSh289,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-ref-sbs-rs5000-rs64r5311b4-ut-399732297.avif,https://samsutech.net/product/side-by-side-refrigerator-rs64r5311b4/
SAMSUNG 635LTR SIDE BY SIDE REFRIGERATOR WITH DISPENSER : RS64R53112A,"KSh329,990.00",https://samsutech.net/wp-content/uploads/2023/06/africa-en-side-by-side-rs64r53112a-rs64r53112a-ut-Mirror-Black-188348985.avif,https://samsutech.net/product/side-by-side-refrigerator-rs64r53112a-2/
SAMSUNG 55″ 4K UHD LED TV SERIES 8  : UA55U8000FU,"KSh63,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-46.png,https://samsutech.net/product/samsung-55%e2%80%b3-4k-uhd-led-tv-series-8-ua55u8000fu/
SAMSUNG BUILT IN HOOD: NK24N7060VB,"KSh64,990.00",https://samsutech.net/wp-content/uploads/2024/06/S300871445_1.jpg,https://samsutech.net/product/samsung-built-in-hood-nk24n7060vb/
SAMSUNG BUILT IN HOOD: NK24M7060VW,"KSh69,990.00",https://samsutech.net/wp-content/uploads/2024/06/S300871442_1.jpg,https://samsutech.net/product/samsung-built-in-hood-nk24m7060vw/
SAMSUNG BUILT IN HOB: NA64N7100AB,"KSh39,990.00",https://samsutech.net/wp-content/uploads/2024/06/S300871444_3.jpg,https://samsutech.net/product/samsung-built-in-hob-na64n7100ab/
SAMSUNG BUILT IN HOB: NA64B3100AS,"KSh26,990.00",https://samsutech.net/wp-content/uploads/2024/06/Samsung-NA64H3110AS-TR-4-Burner-Gas-Built-in-Cooker-NA64B3100AS.jpg,https://samsutech.net/product/samsung-built-in-hob-na64b3100as/
SAMSUNG BUILT IN OVEN: NV60K5140BB,"KSh54,990.00",https://samsutech.net/wp-content/uploads/2023/06/Samsung-Oven-NV60K5140BB.png,https://samsutech.net/product/samsung-built-in-oven-nv60k5140bb/
SAMSUNG BUILT IN OVEN: NV60K3110BS,"KSh44,990.00",https://samsutech.net/wp-content/uploads/2023/06/Samsung-Oven-NV60K3110BS-T.png,https://samsutech.net/product/samsung-built-in-oven-nv60k3110bs/
SAMSUNG 32LTR SOLO MICROWAVE OVEN: MS32DG4504AT,"KSh24,990.00",https://samsutech.net/wp-content/uploads/2023/06/Untitled-design-3-2.png,https://samsutech.net/product/samsung-solo-microwave-oven-ms32dg4504at/
SAMSUNG 11KG FRONT LOAD WASHING MACHINE: WW11CGC04DAB,"KSh104,990.00",https://samsutech.net/wp-content/uploads/2023/05/Untitled-design.png,https://samsutech.net/product/samsung-11kg-front-load-washing-machine-ww11cgc04dab/
SAMSUNG 9KG DRYER : DV90TA040AX,"KSh94,990.00",https://samsutech.net/wp-content/uploads/2022/11/Untitled-design-5.png,https://samsutech.net/product/samsung-9kg-dryer-dv90ta040ax/
